content,content_clean,score,sentiment
"Gatau kenapa tapi sekarang gojek gak seperti dulu, Gapernah ada voucher diskon, ongkir makin mahal, intinyaa udah gak sebagus dulu🙏🏻","gatau kenapa tapi sekarang gojek gak seperti dulu, gapernah ada voucher diskon, ongkir makin mahal, intinyaa udah gak sebagus dulu🙏🏻",2,negative
sangat membantu sekali buat pesen makanan dan berpergian,sangat membantu sekali buat pesen makanan dan berpergian,5,positive
"Pemakaian aplikasi mudah dan praktis. Promo yang di berikan juga banyak. Hanya saja, mungkin dari pihak driver yang perlu di koreksi. Jika memang tidak mau mengambil orderan dengan alasan apapun itu, mohon gunakan bahasa yang sopan kepada customer. Saya beberapa kali menemukan driver yang memberikan chat sedikit ""menyinggung"" seperti ""Driver itu bayarannya per jarak pengantaran, bukan langsung ke depan pintu"", ""merepotkan pengemudi"", ""terlalu jauh, males boss"". padahal, bisa dibicarakan baik2.","pemakaian aplikasi mudah dan praktis. promo yang di berikan juga banyak. hanya saja, mungkin dari pihak driver yang perlu di koreksi. jika memang tidak mau mengambil orderan dengan alasan apapun itu, mohon gunakan bahasa yang sopan kepada customer. saya beberapa kali menemukan driver yang memberikan chat sedikit ""menyinggung"" seperti ""driver itu bayarannya per jarak pengantaran, bukan langsung ke depan pintu"", ""merepotkan pengemudi"", ""terlalu jauh, males boss"". padahal, bisa dibicarakan baik2.",5,positive
"ini terakhir kali aku pake aplikasi ini,bener""mengecewakan sangat buruk sekali","ini terakhir kali aku pake aplikasi ini,bener""mengecewakan sangat buruk sekali",1,negative
terimakasih gojek,terimakasih gojek,4,positive
mantap kali,mantap kali,5,positive
kenapasih gabisa dibatalin kalo gofood pas salah pesen. padahal baru pencet pesan aja udh gabisa dibatalin. hubungin cs jg gada solusi,kenapasih gabisa dibatalin kalo gofood pas salah pesen. padahal baru pencet pesan aja udh gabisa dibatalin. hubungin cs jg gada solusi,1,negative
barusan topup lewat bank bca 313.000 ga masuk pdhal mau nonton buruburu topup tpi kyk gini butuh 2 hari makan duit org balikin duit saya skrg juga supaya yg lain ga kapok pke gopay lg,barusan topup lewat bank bca 313.000 ga masuk pdhal mau nonton buruburu topup tpi kyk gini butuh 2 hari makan duit org balikin duit saya skrg juga supaya yg lain ga kapok pke gopay lg,1,negative
sangat membantu saya,sangat membantu saya,5,positive
AL Muchlas Ode Sahidi,al muchlas ode sahidi,5,positive
"! ! $-. . *##× , but","! ! $-. . *##× , but",4,positive
lebih praktis,lebih praktis,5,positive
harganya selalu makin naik ketika sering dipakai,harganya selalu makin naik ketika sering dipakai,4,positive
sangat membantu dan fast respon 😎👍🏻🥰🙏🏻,sangat membantu dan fast respon 😎👍🏻🥰🙏🏻,5,positive
Kesempurnaan hanyapunya Allah.,kesempurnaan hanyapunya allah.,4,positive
Dikit2 minta update,dikit2 minta update,2,negative
"tolong diapakan dulu drivernya biar gasuka goda godain atau mintain nomor telefon, ada juga driver yang bahasanya kasar banget, coba sih sebelum dijadiin driver di training dulu kek, diapain dulu kek, apa ajalah. mana kalo ujan susah banget lagi dapetnya, sekalinya dapet jauh banget?!! satu lagi, tolong hapus fitur bintang di pelanggan, karena kadang driver ngelunjak, kasih bintang kecil ke pelanggan cuma karena ga dikasih tip. bitte antworten schnell","tolong diapakan dulu drivernya biar gasuka goda godain atau mintain nomor telefon, ada juga driver yang bahasanya kasar banget, coba sih sebelum dijadiin driver di training dulu kek, diapain dulu kek, apa ajalah. mana kalo ujan susah banget lagi dapetnya, sekalinya dapet jauh banget?!! satu lagi, tolong hapus fitur bintang di pelanggan, karena kadang driver ngelunjak, kasih bintang kecil ke pelanggan cuma karena ga dikasih tip. bitte antworten schnell",1,negative
"Pengiriman gofoodnya sekarng sering lama,, driver sering mengeluh karena pengambilan ke restonya terlalu jauh katanya, dan kadang pesanan saya di barengi dengan pesanan gofood orang lain,, Drivernya juga sering mengeluh ongkosnya sangat murah, mungkin itu juga yg membuat mereka jadi malas ngasi yg terbaik buat costemer","pengiriman gofoodnya sekarng sering lama,, driver sering mengeluh karena pengambilan ke restonya terlalu jauh katanya, dan kadang pesanan saya di barengi dengan pesanan gofood orang lain,, drivernya juga sering mengeluh ongkosnya sangat murah, mungkin itu juga yg membuat mereka jadi malas ngasi yg terbaik buat costemer",2,negative
ok driver ramah dan sangat membantu,ok driver ramah dan sangat membantu,4,positive
"Ribet segala pake verifikasi wajah tapi ujung""nya gagal.. Mending pake aplikasi sebelah","ribet segala pake verifikasi wajah tapi ujung""nya gagal.. mending pake aplikasi sebelah",1,negative
lumayan bingung bagusnya drivernya familiar,lumayan bingung bagusnya drivernya familiar,4,positive
sangat bermanfaat dan membantu aktivitas,sangat bermanfaat dan membantu aktivitas,5,positive
top up gopay ga masuk udah 2 hari,top up gopay ga masuk udah 2 hari,1,negative
gojek dan gofood semakin mahal gak ada promo jg bye,gojek dan gofood semakin mahal gak ada promo jg bye,1,negative
very helping,very helping,5,positive
semakin mahal,semakin mahal,4,positive
cepat tepat aman,cepat tepat aman,5,positive
selama ini Gojek tidak mengecewakan..,selama ini gojek tidak mengecewakan..,5,positive
Untuk gopay pinjam. Tolong untuk sistem penagihannya jangan pakai ancaman. Perkara lupa bayar lewat beberapa hari aja doang juga.,untuk gopay pinjam. tolong untuk sistem penagihannya jangan pakai ancaman. perkara lupa bayar lewat beberapa hari aja doang juga.,2,negative
apk nya bagusss bangettt,apk nya bagusss bangettt,5,positive
Tolong lah program aceng dihapus,tolong lah program aceng dihapus,2,negative
aplikasi culas.order gosend instan malah dapet driver yg multifungsi.jadi lama paket w sampe nya woy.mao untung besar aja u jadi aplikasi.sama nomor tlp jangan di samarin woy.jadi ribet kl order gosend,aplikasi culas.order gosend instan malah dapet driver yg multifungsi.jadi lama paket w sampe nya woy.mao untung besar aja u jadi aplikasi.sama nomor tlp jangan di samarin woy.jadi ribet kl order gosend,1,negative
cepat tangkas,cepat tangkas,5,positive
mantap sangat membantu,mantap sangat membantu,5,positive
mudah di akses dan sangat memudahkan dalam bertransaksi,mudah di akses dan sangat memudahkan dalam bertransaksi,5,positive
"bagussss bgttt aplikasii nyaa, Mempermudahhh , untukk bepergiannn mntabbb deee","bagussss bgttt aplikasii nyaa, mempermudahhh , untukk bepergiannn mntabbb deee",2,negative
"👍ramah, familiar,","👍ramah, familiar,",4,positive
JELEKKKK SUMPAH UNTUK APA ADA FITUR NGEBATALIN KALO GABISA NGEBATALIN,jelekkkk sumpah untuk apa ada fitur ngebatalin kalo gabisa ngebatalin,1,negative
"ga sengaja keklik pembayaran dgn gopay coin yg cuma beberapa perak, malah jadi ga bisa ganti alamat tujuan.","ga sengaja keklik pembayaran dgn gopay coin yg cuma beberapa perak, malah jadi ga bisa ganti alamat tujuan.",1,negative
TELAT GOPAY LATER BUNGANYA GEDE GES AWAL BUNGA 50 TAMBAH 5 HARI BUNGA 30,telat gopay later bunganya gede ges awal bunga 50 tambah 5 hari bunga 30,1,negative
Aplikasi yang lama kelamaan jual mahal sekali .....semoga ada pesaingmu yang lebih memanusiakan manusia.,aplikasi yang lama kelamaan jual mahal sekali .....semoga ada pesaingmu yang lebih memanusiakan manusia.,2,negative
"Pihak gojek blm datang masih tunggu gojek karena pihak gojek dicancel Mulu sampai sekarang blm dapat gojek mau gak mau harus pesan Grab, Karena pihak grab cepat banget dapat nya Note: Sampai sekarang belum datang GO-SEND nya???","pihak gojek blm datang masih tunggu gojek karena pihak gojek dicancel mulu sampai sekarang blm dapat gojek mau gak mau harus pesan grab, karena pihak grab cepat banget dapat nya note: sampai sekarang belum datang go-send nya???",2,negative
sangat membantu,sangat membantu,5,positive
"Top up gak masuk.. sudah update aplikasi juga,tulisannya gak ada internet trus padahal ada","top up gak masuk.. sudah update aplikasi juga,tulisannya gak ada internet trus padahal ada",2,negative
"CS gk bisa menyelesaikan masalah terpaku dengan BOT, barang tertinggal chat driver tidak dijawab dan juga tidak bisa ditelpon buat laporan ke cs langsung ditutup tanpa ada penyelesaian dari pihak driver, pengirim, dan gojek.","cs gk bisa menyelesaikan masalah terpaku dengan bot, barang tertinggal chat driver tidak dijawab dan juga tidak bisa ditelpon buat laporan ke cs langsung ditutup tanpa ada penyelesaian dari pihak driver, pengirim, dan gojek.",1,negative
"Sistem pengantaran Gofood sengaja dibikin delay by sistem. Pengiriman 1-1,5 jam dari waktu pesan. Alasan gojek cuaca, resto penuh kenyataannya berbanding terbalik 180 derajat. Pembatalan sepihak. Saatnya beralih ke aplikasi yg lebih profesional.","sistem pengantaran gofood sengaja dibikin delay by sistem. pengiriman 1-1,5 jam dari waktu pesan. alasan gojek cuaca, resto penuh kenyataannya berbanding terbalik 180 derajat. pembatalan sepihak. saatnya beralih ke aplikasi yg lebih profesional.",1,negative
apknya bagus tp tolong donk dj banyakin promonya,apknya bagus tp tolong donk dj banyakin promonya,4,positive
Posisi driver yg akan jemput sering kali jauh dari lokasi penjemputan .. Jadi harus nunggu lama ... Driver kan banyak ... Kenapaharus ambil tg jauh dari titik jemput,posisi driver yg akan jemput sering kali jauh dari lokasi penjemputan .. jadi harus nunggu lama ... driver kan banyak ... kenapaharus ambil tg jauh dari titik jemput,2,negative
gabisa chat sama cs nya gatau kenapa,gabisa chat sama cs nya gatau kenapa,4,positive
membantu sekali,membantu sekali,4,positive
"aplikasi apaan ini, udah mengaktifkan lokasi sepanjang waktu, tp suruh mengaktifkan terus, setiap mau beli tiket KRL","aplikasi apaan ini, udah mengaktifkan lokasi sepanjang waktu, tp suruh mengaktifkan terus, setiap mau beli tiket krl",1,negative
welll. tpi susah kalo pas ujan dapetnya,welll. tpi susah kalo pas ujan dapetnya,5,positive
Tlg diperbaiki kualitas tlf pakai internet nya min. Tiap hubungi driver selalu gak ada suara/gak nyambung,tlg diperbaiki kualitas tlf pakai internet nya min. tiap hubungi driver selalu gak ada suara/gak nyambung,4,positive
sangat bermanfaat bagi masyarakat terus berkembang dan berinovasi ya gojek. CHAYYOOOOOO,sangat bermanfaat bagi masyarakat terus berkembang dan berinovasi ya gojek. chayyoooooo,4,positive
Mohon maaf lebih baik jangan ada pitur exspres soalnya gak ngaruh tetep aja datang nya lama kirain pesen exspres itu bakal cepet eh tetep aja lama banget datang nya,mohon maaf lebih baik jangan ada pitur exspres soalnya gak ngaruh tetep aja datang nya lama kirain pesen exspres itu bakal cepet eh tetep aja lama banget datang nya,2,negative
sudah mulai busuk gojek sekarang .. banyak menipu costamer .. layanan expres harga mahal tp layanan sama aja dengan layanan biasa .. mau untung besar nipuin costamer ..,sudah mulai busuk gojek sekarang .. banyak menipu costamer .. layanan expres harga mahal tp layanan sama aja dengan layanan biasa .. mau untung besar nipuin costamer ..,1,negative
top up via dana potong sana potong sini ya doble motong nya,top up via dana potong sana potong sini ya doble motong nya,4,positive
Aplikasinya menjadi berat,aplikasinya menjadi berat,2,negative
"kalau jelas ngga dapat driver untuk pesan makanan, kenapa dibatalin ngga bisa ? dan itu lama sekalii untuk pembatalan saja toh resto juga belum menyiapkan makanannya kenapa ngga bisa di batalin? sangat merugikan......","kalau jelas ngga dapat driver untuk pesan makanan, kenapa dibatalin ngga bisa ? dan itu lama sekalii untuk pembatalan saja toh resto juga belum menyiapkan makanannya kenapa ngga bisa di batalin? sangat merugikan......",1,negative
"search engine harus dipisahkan untuk penelusuran khusus ""makanan"" dan ""nama resto"". sejak fitur ini dihilangkan semakin sulit mendapat hasil penelusuran yang diinginkan","search engine harus dipisahkan untuk penelusuran khusus ""makanan"" dan ""nama resto"". sejak fitur ini dihilangkan semakin sulit mendapat hasil penelusuran yang diinginkan",1,negative
sy mau hapus akun tetapi selalu ditolak dan di persulit padahal udh sesuai aturan...,sy mau hapus akun tetapi selalu ditolak dan di persulit padahal udh sesuai aturan...,1,negative
sangat membantu,sangat membantu,4,positive
Saya tidak bisa masuk d akun gojek saya...walaupun sudah saya coba 10x tetep tidk bisa Kenapaaaaa,saya tidak bisa masuk d akun gojek saya...walaupun sudah saya coba 10x tetep tidk bisa kenapaaaaa,2,negative
"Tolong aplikasi gojek skrg kalau pesen gofood kok lama banget ya. Pdhl pesan gak ada 500meter tapi nunggu nya 30 menit lebih , ini yg di pesen fastfood pdhl","tolong aplikasi gojek skrg kalau pesen gofood kok lama banget ya. pdhl pesan gak ada 500meter tapi nunggu nya 30 menit lebih , ini yg di pesen fastfood pdhl",2,negative
baguss banget dan sangat murah banyak diskon,baguss banget dan sangat murah banyak diskon,5,positive
"jelek banget buat pesan makanan...waktunya lama di dapur, 40 menit udh gitu kalo gak dapat driver bakal ngulang pesan lagi di dapur 40 menit udah gitu gak bisa dicancel pdhal belum dapat drivernya,udah gitu kalo belum dapat driver masih disuruh nunggu lagi keburu orang kelaparan bayangin dari jam 6 malam pesan sampai jam stgh 8 malam tu makanan belum diantar2 ..uufff sebel pliss gak usah pesen makanan di aplikasi ini","jelek banget buat pesan makanan...waktunya lama di dapur, 40 menit udh gitu kalo gak dapat driver bakal ngulang pesan lagi di dapur 40 menit udah gitu gak bisa dicancel pdhal belum dapat drivernya,udah gitu kalo belum dapat driver masih disuruh nunggu lagi keburu orang kelaparan bayangin dari jam 6 malam pesan sampai jam stgh 8 malam tu makanan belum diantar2 ..uufff sebel pliss gak usah pesen makanan di aplikasi ini",2,negative
PROMO NYA KURANG,promo nya kurang,4,positive
knapa aplikasi gojek ini ga bisa di buka?,knapa aplikasi gojek ini ga bisa di buka?,2,negative
promo nya jarang,promo nya jarang,4,positive
keren mantap,keren mantap,4,positive
"Udh males aja gatau knpa go food nya lama banget , drivernya selalu gagal ganti2 terus jarak Deket 1 jam ,belum di tmbah driver datang ke resto, belum driver anter pesanan. Haduhhhhhh mening pake toko sebelah aja kali ya. Lebih responsif.","udh males aja gatau knpa go food nya lama banget , drivernya selalu gagal ganti2 terus jarak deket 1 jam ,belum di tmbah driver datang ke resto, belum driver anter pesanan. haduhhhhhh mening pake toko sebelah aja kali ya. lebih responsif.",2,negative
"udah ga kayak dulu fiturnya, mataduitan","udah ga kayak dulu fiturnya, mataduitan",1,negative
"Agak kecewa sekarang karna waktu nunggu agak lama 30-40 menit,yang lainnya tetap oke","agak kecewa sekarang karna waktu nunggu agak lama 30-40 menit,yang lainnya tetap oke",4,positive
APLIKASI PENGIKUT DAJJALLL!!!!,aplikasi pengikut dajjalll!!!!,1,negative
"ntah knpa aneh, dulu saya sering dapet voucer goride sama gocar sekarang dapet tpi gabisa kepake, di voucer ketulis minimum transaksi tpi tiap pesen otomatis lebih 1k dari minimum transaksi iseng aku kurangin jarak perjalanan biar voucer kepake karna anak kuliahan tgl tua plus kerja plussss rantau coba aja apa bisa kepake apa engga well harganya ga berubah stuck di harga segitu mau dipasang 100m dari tujuan tetep gada yg berubah giliran dinaikin jaraknya harga juga naik ntahlah 🤣","ntah knpa aneh, dulu saya sering dapet voucer goride sama gocar sekarang dapet tpi gabisa kepake, di voucer ketulis minimum transaksi tpi tiap pesen otomatis lebih 1k dari minimum transaksi iseng aku kurangin jarak perjalanan biar voucer kepake karna anak kuliahan tgl tua plus kerja plussss rantau coba aja apa bisa kepake apa engga well harganya ga berubah stuck di harga segitu mau dipasang 100m dari tujuan tetep gada yg berubah giliran dinaikin jaraknya harga juga naik ntahlah 🤣",2,negative
"knp akhir2 ini buka aplikasi gojek,trutama goride,go car sangat lemot skali.pdhl kita lagi sangat urgen.mohom di tindak lanjuti krn kami sangat membutuhkan","knp akhir2 ini buka aplikasi gojek,trutama goride,go car sangat lemot skali.pdhl kita lagi sangat urgen.mohom di tindak lanjuti krn kami sangat membutuhkan",4,positive
"ok, banyak diskon","ok, banyak diskon",5,positive
mau pergi2 mudah...mau makan mudah...mau kirim barang...mudah,mau pergi2 mudah...mau makan mudah...mau kirim barang...mudah,5,positive
"gocar susah banget, udah dimahalin juga.","gocar susah banget, udah dimahalin juga.",2,negative
Sejauh ini aman2aja..,sejauh ini aman2aja..,4,positive
di bali tetap nyaman pakai gojek,di bali tetap nyaman pakai gojek,5,positive
benahin lg deh sistem nya .dengerin keluhan driver .,benahin lg deh sistem nya .dengerin keluhan driver .,1,negative
"mohon maaf kepada aplikator, ini kenapa apk ga bisa buat angkat telpon dari driver ya, pas mau telpon balik malah pake nomor pribadi, biasanya bisa buat angkat telpon dari driver tapi ini kok ga bisa dari kemaren²...kalo ga ada tindak lanjut saya akan menurunkan rating di apk, terima kasih","mohon maaf kepada aplikator, ini kenapa apk ga bisa buat angkat telpon dari driver ya, pas mau telpon balik malah pake nomor pribadi, biasanya bisa buat angkat telpon dari driver tapi ini kok ga bisa dari kemaren²...kalo ga ada tindak lanjut saya akan menurunkan rating di apk, terima kasih",5,positive
jelekkk kalo mesen yg hemat dikasih jauhb mluuuu kan kasian drivernya mana yang diambil macet lagiiiii,jelekkk kalo mesen yg hemat dikasih jauhb mluuuu kan kasian drivernya mana yang diambil macet lagiiiii,2,negative
ditingkatkan terus,ditingkatkan terus,4,positive
luar biasa.. menyediakan jasa di saat orang mager.. mantaaaap,luar biasa.. menyediakan jasa di saat orang mager.. mantaaaap,5,positive
"Alamat: Jalan, Apt, Kota, Daerah, Provinsi, Kode pos","alamat: jalan, apt, kota, daerah, provinsi, kode pos",2,negative
Gojek andalan sy klo mo gosend...sngt membantu kerj sy...good job,gojek andalan sy klo mo gosend...sngt membantu kerj sy...good job,5,positive
Bintang yg kami kasih di setiap transaksi KADANG hasil paksaan driver. Minim sopan santun.,bintang yg kami kasih di setiap transaksi kadang hasil paksaan driver. minim sopan santun.,1,negative
jarang ada voucher,jarang ada voucher,4,positive
lumayan nyaman... driver sering cancel pesanan alasan titik jemput kejauhan...,lumayan nyaman... driver sering cancel pesanan alasan titik jemput kejauhan...,4,positive
agak sdkt membingungkan,agak sdkt membingungkan,4,positive
sombong semua gamau diterima pesanan nya,sombong semua gamau diterima pesanan nya,1,negative
kok makanan nya sama ongkir nya mahal bet ya?,kok makanan nya sama ongkir nya mahal bet ya?,2,negative
sangat membantu sekali,sangat membantu sekali,5,positive
sangat bermanfaat,sangat bermanfaat,5,positive
pesanan saya tidak dikirimkan oleh driver tapi gojek tidak tanggung jawab,pesanan saya tidak dikirimkan oleh driver tapi gojek tidak tanggung jawab,1,negative
Baru kali ini pake gojek aplikasi di buat kecewa sama driver nya . Beberapa kali di tolak gocar alesan nya tidak jelas bahkan ada minta untuk orderan offline di luar harga tarif yang ga normal.. please admin driver model gitu cut off aja,baru kali ini pake gojek aplikasi di buat kecewa sama driver nya . beberapa kali di tolak gocar alesan nya tidak jelas bahkan ada minta untuk orderan offline di luar harga tarif yang ga normal.. please admin driver model gitu cut off aja,2,negative
"Go Food harga sekarang mahal, dgn porsi lebih sedikit dibanding beli langsung","go food harga sekarang mahal, dgn porsi lebih sedikit dibanding beli langsung",4,positive
"Alhamdulillah Bapak Drive nya wanggi dan bersih, sopan , baju ojek nya bersih , rapih","alhamdulillah bapak drive nya wanggi dan bersih, sopan , baju ojek nya bersih , rapih",5,positive
Malesla gak ada lagi gratis ongkirnya,malesla gak ada lagi gratis ongkirnya,2,negative
mudah untuk transportasi dan pesan makanan,mudah untuk transportasi dan pesan makanan,5,positive
pakai Goride Dan GoCar semua mobilitasku lancar.,pakai goride dan gocar semua mobilitasku lancar.,5,positive
Semoga kedepannya Go-Jek bisa lebih baik lagi,semoga kedepannya go-jek bisa lebih baik lagi,4,positive
"jangab sampai gojek di akusisi oleh grab,karena gojek bukan sekedar aplikasi transportasi daring,gojek adalah marwah bangsa indonesia di bidang tekhnologi di bidang transportasi.","jangab sampai gojek di akusisi oleh grab,karena gojek bukan sekedar aplikasi transportasi daring,gojek adalah marwah bangsa indonesia di bidang tekhnologi di bidang transportasi.",4,positive
sangat bagus,sangat bagus,4,positive
ribet langsung uninstall,ribet langsung uninstall,1,negative
"loading mulu kaga jelas, yang tadinya laper jadi emosi nunggu loading kaga kelar ujung ujungnya periksa koneksi anda hello aplikasi kaga jelas kita pake wifi ya, aduh2 mana harga menu tambah kesini tambah mahal","loading mulu kaga jelas, yang tadinya laper jadi emosi nunggu loading kaga kelar ujung ujungnya periksa koneksi anda hello aplikasi kaga jelas kita pake wifi ya, aduh2 mana harga menu tambah kesini tambah mahal",1,negative
gojek/gopay penipuan saldo saya sampai sekarang tidak di kasih udah 4 hari tidak ada kejelasan nya saldo di tahan...padahal saya sudah kirim bukti jelas ke gmail dan pusat bantuan malah yang respon laporan hanya bot bukan agen langsung kocak emang nih aplikasi penipuan uang,gojek/gopay penipuan saldo saya sampai sekarang tidak di kasih udah 4 hari tidak ada kejelasan nya saldo di tahan...padahal saya sudah kirim bukti jelas ke gmail dan pusat bantuan malah yang respon laporan hanya bot bukan agen langsung kocak emang nih aplikasi penipuan uang,1,negative
gojek paling thebest,gojek paling thebest,5,positive
Susah cari driver,susah cari driver,4,positive
maaaangtaaaap aplikasi nya,maaaangtaaaap aplikasi nya,4,positive
"Tolong dong system jangan tidur aja kerjanya, cust udah kelaparan, nunggu dapet driver aja susah amat, pokok nya enak kan gojek dulu.","tolong dong system jangan tidur aja kerjanya, cust udah kelaparan, nunggu dapet driver aja susah amat, pokok nya enak kan gojek dulu.",4,positive
ini kenapa kalo mobil xl cm bisa 6 orang? terus kalo yang ber 7 mau pake mobil yang mana?,ini kenapa kalo mobil xl cm bisa 6 orang? terus kalo yang ber 7 mau pake mobil yang mana?,2,negative
sangat ramah,sangat ramah,5,positive
drivernya luar biasa sabar,drivernya luar biasa sabar,5,positive
promonya luar biasa,promonya luar biasa,5,positive
Tolong SLOT dan Aceng D Hapus !!!!!!!! Orderan jadi hancur,tolong slot dan aceng d hapus !!!!!!!! orderan jadi hancur,4,positive
"gojek ko pake motor listrik sih, g enak banget pelayanan nya, bayar mahal tapi dpt motor yg jelek","gojek ko pake motor listrik sih, g enak banget pelayanan nya, bayar mahal tapi dpt motor yg jelek",2,negative
membantu sekali,membantu sekali,4,positive
mentang mentang saldo gua 18.500 naik gojek hemat jarak 1km aja 18.500😂😂😂😂😂,mentang mentang saldo gua 18.500 naik gojek hemat jarak 1km aja 18.500😂😂😂😂😂,1,negative
mantabs kak ok,mantabs kak ok,4,positive
"Kesel banget,pesen makanan sudah sampai 1 jam blm kelar2 tiba2 ga dapet driver,1 jam terlalu lama menunggu bagi orang yg kelaparan,mana g bisa dicancel dari aplikasi...ga lagi pake gojek,mana udh ngisi saldo","kesel banget,pesen makanan sudah sampai 1 jam blm kelar2 tiba2 ga dapet driver,1 jam terlalu lama menunggu bagi orang yg kelaparan,mana g bisa dicancel dari aplikasi...ga lagi pake gojek,mana udh ngisi saldo",2,negative
Pesen gofood sekarang lama banget. Nunggu dapat driver ajh sampe 1 jam lebih. Padahal kawasan rame ojol dan pesen di siang hari juga. Udah gtu gak bisa di cancel orderan yang udah dipesen kacau jelek bgt kualitasnya pesen yang pengiriman cepat juga sama ajah,pesen gofood sekarang lama banget. nunggu dapat driver ajh sampe 1 jam lebih. padahal kawasan rame ojol dan pesen di siang hari juga. udah gtu gak bisa di cancel orderan yang udah dipesen kacau jelek bgt kualitasnya pesen yang pengiriman cepat juga sama ajah,1,negative
"sering top up, malah yg sering dikasih promo yg ngutang, aneh","sering top up, malah yg sering dikasih promo yg ngutang, aneh",2,negative
Semangat Abang yg jadi Dev tim Bug💪🏻🔥,semangat abang yg jadi dev tim bug💪🏻🔥,5,positive
lumayan bagus,lumayan bagus,4,positive
"Pesanan kurang tapi malah dikembaliin dana harga pesanannya, terus kalo pesen lagi ongkir lagi dong hadehh , ga gitu juga lah penanganan nya. Minta toong diperjalas lagi soal penanganan seperti ini.","pesanan kurang tapi malah dikembaliin dana harga pesanannya, terus kalo pesen lagi ongkir lagi dong hadehh , ga gitu juga lah penanganan nya. minta toong diperjalas lagi soal penanganan seperti ini.",2,negative
Bagus bangett 🫰🏻😻,bagus bangett 🫰🏻😻,5,positive
mau aku spam bintang 1 ... karena hampir tiap hari aku dispam voucher ... tapi aku klik resto nya nggk ada... asli kena scam. berkali kali...,mau aku spam bintang 1 ... karena hampir tiap hari aku dispam voucher ... tapi aku klik resto nya nggk ada... asli kena scam. berkali kali...,1,negative
pelayan gocarnya tidak memuaskan,pelayan gocarnya tidak memuaskan,1,negative
good moment.,good moment.,4,positive
"gojek driver menjaga keamanan penumpang ,🙏","gojek driver menjaga keamanan penumpang ,🙏",5,positive
sangat bagus,sangat bagus,5,positive
muncul mulu loe di game,muncul mulu loe di game,1,negative
"Saya mau ketik kode promo tapi tidak bisa melulu karena katanya sudah tukerin kode ini. Mohon maaf, saya merasa attempt saya belum berhasil, tapi kenapa dibilang sudah ditukerin. Malah jadinya kalimat tadi yang dibilang sudah tukerin kode ini jadi voucher kode ini sudah habis. Tolong solusinya! Karena saya merasa saya harusnya bisa mendapatkannya.","saya mau ketik kode promo tapi tidak bisa melulu karena katanya sudah tukerin kode ini. mohon maaf, saya merasa attempt saya belum berhasil, tapi kenapa dibilang sudah ditukerin. malah jadinya kalimat tadi yang dibilang sudah tukerin kode ini jadi voucher kode ini sudah habis. tolong solusinya! karena saya merasa saya harusnya bisa mendapatkannya.",2,negative
nungguin gofood sampe laper banget masi blum dpet driver,nungguin gofood sampe laper banget masi blum dpet driver,1,negative
"aplikasi payah, sering bngt di rugikan, tiba tiba tarif berubah lah, kalo pake gopay drivernya gak dateng lah, gopay tetep kepotong, tolong di perbiaki lagi lah biar sama sama enak, TERIMAKASIH !","aplikasi payah, sering bngt di rugikan, tiba tiba tarif berubah lah, kalo pake gopay drivernya gak dateng lah, gopay tetep kepotong, tolong di perbiaki lagi lah biar sama sama enak, terimakasih !",1,negative
Peraturan Menteri Perdagangan No. 50 Tahun 2020 tentang Perdagangan Melalui Sistem Elektronik (PMSE) – khusus e-commerce Pasal 9: Konsumen berhak membatalkan pesanan sebelum barang dikirim oleh penjual. jadi tidak ada efisiensi nya ketika sistem pembatalan harus di minta konsumen menunggu hingga 1 jam setengah saking susah nya driver di temukan,peraturan menteri perdagangan no. 50 tahun 2020 tentang perdagangan melalui sistem elektronik (pmse) – khusus e-commerce pasal 9: konsumen berhak membatalkan pesanan sebelum barang dikirim oleh penjual. jadi tidak ada efisiensi nya ketika sistem pembatalan harus di minta konsumen menunggu hingga 1 jam setengah saking susah nya driver di temukan,2,negative
Ok banget joss,ok banget joss,5,positive
siap sedia dimanapun dan sgala kondisi,siap sedia dimanapun dan sgala kondisi,5,positive
coba kalo sudah pernah cancel driver jangan kasih driver yg sama di hari kemudian nya cape saya nunggu lama driver itu trs,coba kalo sudah pernah cancel driver jangan kasih driver yg sama di hari kemudian nya cape saya nunggu lama driver itu trs,2,negative
"aplikasi yang paling the best pokoknyaaa, banyakk promo dan diskon cuyyy😙😆, dowload aplikasi ini ajaa🤗🤗","aplikasi yang paling the best pokoknyaaa, banyakk promo dan diskon cuyyy😙😆, dowload aplikasi ini ajaa🤗🤗",5,positive
"aplkator buruk, nyekin mitra","aplkator buruk, nyekin mitra",1,negative
untuk food ny kebanyakan driver on food juga tpi giliran dapet food ga di pick up mohon di perbaiki lagi kedepan ny Terima kasih,untuk food ny kebanyakan driver on food juga tpi giliran dapet food ga di pick up mohon di perbaiki lagi kedepan ny terima kasih,2,negative
gajelas kocak,gajelas kocak,1,negative
"Sangat di butuhkan skli di saat yg genting, dan juga drivernya cepat","sangat di butuhkan skli di saat yg genting, dan juga drivernya cepat",4,positive
sangat membantu dalam kegiatan sehari-hari,sangat membantu dalam kegiatan sehari-hari,4,positive
